eval_id,objective,offset,lower_angle,upper_angle,lower_flare,upper_flare,timestamp_iso8601
1,403.5369479699997,0.0009999999999999,4.0,-3.0,0.001,0.001,2025-12-06T06:38:03.248479
2,558.1562595099997,0.003,3.999999999999901,-3.0,0.001,0.00125,2025-12-06T12:37:57.414143
3,429.0040381999997,0.001,6.999999999999897,-3.0,0.001,0.001,2025-12-06T15:59:59.531370
4,1419.74687705,0.003,3.999999999999901,0.0,0.001,0.001,2025-12-06T16:56:00.039965
5,437.8191523449998,0.001,6.999999999999897,0.0,0.00075,0.00125,2025-12-06T18:10:12.817342
6,250.8495009699999,-0.0009999999999999,3.999999999999901,-3.0,0.00125,0.001,2025-12-06T22:09:15.057223
7,339.77805763,-0.007,3.999999999999599,-3.0,0.002,0.001,2025-12-07T10:31:08.438346
8,399.4115439149995,-0.003,3.999999999999599,-3.0,0.0017499999999999,0.001,2025-12-07T20:00:05.234583
9,336.60113710999974,-0.007,6.999999999999897,-3.0,0.0017499999999999,0.00075,2025-12-08T15:24:14.951437
10,313.75462035999976,-0.007,3.999999999999901,-6.0,0.00225,0.00075,2025-12-09T01:43:38.139718
11,370.4168418499998,-0.01,0.9999999999999004,-3.0,0.0025,0.00075,2025-12-09T11:57:30.005420
12,313.8614240299998,-0.009,4.000000000000199,-3.0,0.00225,0.00075,2025-12-09T22:18:21.701899
13,415.8559405199995,-0.003,6.999999999999897,-3.0,0.00125,0.001,2025-12-10T08:35:13.516519
14,823.6264653449995,-0.0009999999999999,3.999999999999901,-3.0,0.00075,0.001,2025-12-10T14:11:12.573754
15,413.82291939499993,-0.0009999999999999,3.999999999999901,-6.0,0.001,0.001,2025-12-10T14:17:07.529013
16,403.48294640999967,-0.005,3.999999999999901,-3.0,0.00125,0.001,2025-12-10T18:01:23.920591
17,333.07435217999983,-0.0009999999999999,0.9999999999999004,-3.0,0.00125,0.001,2025-12-10T18:58:08.442310
18,566.9129766049998,-0.0009999999999999,3.999999999999901,-3.0,0.00125,0.00075,2025-12-10T19:03:18.139168
19,1041.767753499999,0.001,3.999999999999901,-3.0,0.0017499999999999,0.001,2025-12-11T05:15:10.122198
20,280.33755456499983,-0.0009999999999999,0.9999999999999004,-6.0,0.0015,0.00075,2025-12-11T15:29:02.038730
21,221.57752698499988,-0.0009999999999999,-1.4000000000000998,-5.4,0.0017499999999999,0.00095,2025-12-12T01:52:53.909301
22,497.89677413499993,0.003,-5.599999999999799,-6.6,0.0015,0.00105,2025-12-12T12:09:46.189954
23,219.04198420999973,-0.0015999999999999,-1.399999999999982,-5.4,0.0018499999999999,0.0009499999999999,2025-12-15T04:23:54.949223
24,490.1658112249996,-0.0004,-1.399999999999982,-5.4,0.0017499999999999,0.0010199999999999,2025-12-15T04:26:52.999176
25,398.6777707949996,-0.0004,-1.399999999999982,-5.04,0.0017499999999999,0.0009499999999999,2025-12-15T08:10:08.423139
26,216.02165628999987,-0.001,-0.969999999999982,-5.4,0.0017499999999999,0.0009499999999999,2025-12-15T09:03:55.204215
27,203.68022000999983,-0.001,-0.969999999999982,-5.04,0.00165,0.0010199999999999,2025-12-15T09:16:04.452087
